[2026-08-17T15:18:22+08:00] 
[2026-08-17T15:18:22+08:00] --- Live capture log started at 2026-08-17T15:18:22+08:00: /home/rgmtc/Desktop/Radar-UREx/rawdatacapture/livedatacapture.log ---
[2026-08-17T15:18:22+08:00] Classification requested: device=cuda, artifacts=/home/rgmtc/Desktop/Radar-UREx/model_weights
[2026-08-17T15:18:22+08:00] Loaded radar config: RadarCaptureConfig(num_adc_samples=64, num_rx_channels=4, num_chirps_per_frame=384, bytes_per_frame=393216, iq_swap=True, channel_interleave=False, lvds_lanes=2, num_loops=128, num_chirps_per_loop=3, tx_channel_masks=(1, 4, 2), sample_rate_ksps=5000.0, frequency_slope_mhz_per_us=60.0, start_frequency_ghz=60.0, idle_time_us=7.0, ramp_end_time_us=32.0, frame_periodicity_ms=33.33, range_bias_m=0.1190787, rx_channel_compensation=((0.87565+0j), (-0.68629+0.13133j), (-0.68101+0.28645j), (0.7752-0.03156j), (0.51658-0.59936j), (-0.32232+0.66024j), (-0.23342+0.86559j), (0.39294-0.76367j), (0.44868-0.89369j), (-0.14162+0.77765j), (0.0345+0.84329j), (0.41645-0.86571j)), azimuth_bias_deg=-2.972753, elevation_bias_deg=0.1000456)
[2026-08-17T15:18:58+08:00] stats: packets=216298, frames=801, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=53
[2026-08-17T15:18:58+08:00] stats: packets=217379, frames=805, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=54
[2026-08-17T15:18:59+08:00] stats: packets=218999, frames=811, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=55
[2026-08-17T15:18:59+08:00] stats: packets=220349, frames=816, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=56
[2026-08-17T15:18:59+08:00] stats: packets=221159, frames=819, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=57
[2026-08-17T15:18:59+08:00] stats: packets=221970, frames=822, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=58
[2026-08-17T15:18:59+08:00] stats: packets=222510, frames=824, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=59
[2026-08-17T15:18:59+08:00] stats: packets=223590, frames=828, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=60
[2026-08-17T15:18:59+08:00] stats: packets=224940, frames=833, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=61
[2026-08-17T15:18:59+08:00] stats: packets=226021, frames=837, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=62
[2026-08-17T15:19:00+08:00] stats: packets=227641, frames=843, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=63
[2026-08-17T15:19:00+08:00] stats: packets=229532, frames=850, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=64
[2026-08-17T15:19:00+08:00] stats: packets=231692, frames=858, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=65
[2026-08-17T15:19:01+08:00] stats: packets=234393, frames=868, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=66
[2026-08-17T15:19:01+08:00] stats: packets=237634, frames=880, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=67
[2026-08-17T15:19:02+08:00] stats: packets=242765, frames=899, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=68
[2026-08-17T15:19:02+08:00] stats: packets=245735, frames=910, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=69
[2026-08-17T15:19:02+08:00] stats: packets=249516, frames=924, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=70
[2026-08-17T15:19:03+08:00] stats: packets=253837, frames=940, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=71
[2026-08-17T15:19:03+08:00] stats: packets=255188, frames=945, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=72
[2026-08-17T15:19:03+08:00] stats: packets=256538, frames=950, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=73
[2026-08-17T15:19:03+08:00] stats: packets=257618, frames=954, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=74
[2026-08-17T15:19:03+08:00] stats: packets=258429, frames=957, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=75
[2026-08-17T15:19:04+08:00] stats: packets=258969, frames=959, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=76
[2026-08-17T15:19:04+08:00] stats: packets=260319, frames=964, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=77
